Designator,Mid X,Mid Y,Layer,Rotation
C3,-18.2,73.24,Bottom,90
C4,-12.1,69.72,Bottom,270
C10,-7,80.1,Bottom,180
C11,-7.2,78,Bottom,180
C12,-26.51,68.7,Bottom,0
C13,-15.3,67.15,Bottom,180
C14,43,32,Bottom,0
C25,36.5,70,Bottom,180
C30,8.1,81.1,Bottom,270
C49,6,81,Bottom,270
C51,14.1,30.3,Bottom,0
C52,14,32.4,Bottom,180
C53,6.65,72.35,Bottom,0
C59,6.75,74.45,Bottom,180
C63,-4.5,61.3,Bottom,180
C64,-7.85,70.8,Bottom,0
C65,17.5,66.5,Bottom,90
C66,-33.1,71.5,Bottom,90
C67,-31,68.5,Bottom,270
C68,-20,27.5,Bottom,0
D1,24,25,Bottom,270
D2,18,47.5,Bottom,180
D3,18,51,Bottom,180
D4,40,52.5,Bottom,270
D6,21.25,39.5,Bottom,270
D7,47.5,52.5,Bottom,270
D8,25.75,39.5,Bottom,270
D9,42.5,52.5,Bottom,270
D10,-44.25,53,Bottom,270
D11,-46.5,53,Bottom,270
D12,-39.75,53,Bottom,270
D13,-39.75,47.75,Bottom,90
D14,-27.75,40.75,Bottom,90
D15,-25.5,40.75,Bottom,90
D16,-42,53,Bottom,270
D17,-42,47.75,Bottom,90
D18,-44.25,47.75,Bottom,90
D19,45,52.5,Bottom,270
D20,23.5,39.5,Bottom,270
D21,-36.76,26.07,Bottom,90
IC2,0,77,Bottom,90
L3,34,27,Bottom,0
R1,-21.43,68.8,Bottom,180
R2,-23.5,77.48,Bottom,90
R3,-21.43,66.7,Bottom,180
R5,-12.3,73.32,Bottom,270
R6,-31,71.5,Bottom,270
R13,40,71,Bottom,270
R14,43,69.5,Bottom,180
R15,21,66.5,Bottom,270
R20,24,65.5,Bottom,180
R22,4.4,17.8,Bottom,180
R24,4.4,20.3,Bottom,180
R25,2,33.5,Bottom,270
R27,-21,77.5,Bottom,90
R30,-39.75,43.5,Bottom,270
R31,-22.25,59.75,Bottom,0
R32,-42,43.5,Bottom,270
R33,18.5,41,Bottom,180
R34,18.5,45,Bottom,180
R35,18.75,53.25,Bottom,180
R36,1.27,8.89,Bottom,90
R37,-1.27,8.89,Bottom,90
R38,-5.1,12.5,Bottom,90
R39,-3,12.5,Bottom,90
R40,-41,24.19,Bottom,180
R41,-27.6,32,Bottom,270
R42,-40.64,35.56,Bottom,180
R43,-40.64,33.02,Bottom,180
U$2,-24,73,Bottom,90
U1,-6.25,66.05,Bottom,0
XL1,45,26,Bottom,90